Movie Title,Director Contribution ($),Genre Contribution ($),Cast Contribution ($),Gross Profit ($)
Enough Said,5190000.0,5190000.0,1384000.0,17300000.0
Entourage,3090000.0,3090000.0,824000.0,10300000.0
Epic,52619999.99999999,26309999.999999996,14031999.999999996,175399999.99999997
Escape from Planet Earth,10380000.0,5190000.0,2768000.0,34600000.0
Evil Dead,24150000.0,24150000.0,6440000.0,80500000.0
Ex Machina,6570000.0,3285000.0,2920000.0,21900000.0
Eye in the Sky,5939999.999999999,5939999.999999999,1979999.9999999998,19799999.999999996
Fantastic Four,14400000.0,7200000.0,3840000.0,48000000.0
Fast & Furious 6,188610000.0,188610000.0,50296000.0,628700000.0
Flight,39240000.0,39240000.0,10464000.0,130800000.0
Florence Foster Jenkins,3810000.0,1905000.0,1016000.0,12700000.0
Frances Ha,2490000.0,1245000.0,664000.0,8300000.0
Free State of Jones,-8640000.0,-4320000.0,-2880000.0,-28800000.0
Friends with Kids,660000.0,330000.0,176000.0,2200000.0
Fun Size,-780000.0,-780000.0,-208000.0,-2600000.0
Fury,43140000.0,21570000.0,11504000.0,143800000.0
G.I. Joe: Retaliation,73710000.0,36855000.0,19656000.0,245700000.0
Gangster Squad,9060000.0,4530000.0,2416000.0,30200000.0
Get Hard,21540000.0,21540000.0,5744000.0,71800000.0
Get on Up,1020000.0,510000.0,272000.0,3400000.0
Getaway,-930000.0,-1860000.0,-620000.0,-6200000.0
Ghost Rider: Spirit of Vengeance,11340000.0,11340000.0,6048000.0,75600000.0
Ghostbusters,22050000.0,11025000.0,5880000.0,73500000.0
God's Not Dead,18180000.0,18180000.0,4848000.0,60600000.0
God's Not Dead 2,5550000.0,5550000.0,1480000.0,18500000.0
Gods of Egypt,1710000.0,855000.0,456000.0,5700000.0
Godzilla,110700000.0,55350000.0,29520000.0,369000000.0
Gone Girl,92490000.0,46245000.0,24664000.0,308300000.0
Good Deeds,6480000.0,3240000.0,1728000.0,21600000.0
Goosebumps,19860000.0,9930000.0,5296000.0,66200000.0
Grown Ups 2,50100000.0,50100000.0,13360000.0,167000000.0
"Hail, Caesar!",0.0,0.0,0.0,0.0
Hands of Stone,-5490000.0,-2745000.0,-1464000.0,-18300000.0
Hansel and Gretel: Witch Hunters,52890000.0,26445000.0,14104000.0,176300000.0
Heaven Is for Real,26790000.0,26790000.0,7144000.0,89300000.0
Here Comes the Boom,9330000.0,9330000.0,3110000.0,31100000.0
Hit and Run,3750000.0,1875000.0,1000000.0,12500000.0
Hitman: Agent 47,14190000.0,7095000.0,4730000.0,47300000.0
Home,75300000.0,37650000.0,20080000.0,251000000.0
Hope Springs,25290000.0,12645000.0,6744000.0,84300000.0
Horrible Bosses 2,15210000.0,15210000.0,4056000.0,50700000.0
Hot Pursuit,5010000.0,2505000.0,1670000.0,16700000.0
Hotel Transylvania,82020000.0,82020000.0,21872000.0,273400000.0
Hotel Transylvania 2,117900000.0,58950000.0,31440000.0,393000000.0
How to Train Your Dragon 2,142950000.0,142950000.0,38120000.0,476500000.0
I,15000000.0,7500000.0,4000000.0,50000000.0
I Saw the Light,-1560000.0,-1560000.0,-4160000.0,-10400000.0
Ice Age: Collision Course,39495000.0,78990000.0,21064000.0,263300000.0
Ice Age: Continental Drift,117300000.0,234600000.0,62560000.0,782000000.0
Identity Thief,41700000.0,20850000.0,11120000.0,139000000.0
If I Stay,20370000.0,20370000.0,5432000.0,67900000.0
In the Heart of the Sea,-1830000.0,-1830000.0,-488000.0,-6100000.0
Independence Day: Resurgence,65190000.0,32595000.0,17384000.0,217300000.0
Insidious: Chapter 2,47070000.0,47070000.0,15690000.0,156900000.0
Insidious: Chapter 3,30600000.0,30600000.0,8160000.0,102000000.0
Interstellar,153030000.0,153030000.0,40808000.0,510100000.0
Into the Storm,33510000.0,16755000.0,11170000.0,111700000.0
Iron Sky,180000.0,90000.0,48000.0,600000.0
Irrational Man,4920000.0,2460000.0,1640000.0,16400000.0
Jack Reacher,47490000.0,23745000.0,12664000.0,158300000.0
Jack Ryan: Shadow Recruit,22650000.0,11325000.0,6040000.0,75500000.0
Jane Got a Gun,-6600000.0,-3300000.0,-1760000.0,-22000000.0
Jason Bourne,68370000.0,34185000.0,18232000.0,227900000.0
"Jeff, Who Lives at Home",0.0,0.0,0.0,0.0
Jem and the Holograms,-810000.0,-405000.0,-216000.0,-2700000.0
Jersey Boys,2730000.0,1365000.0,728000.0,9100000.0
Jobs,7170000.0,7170000.0,1912000.0,23900000.0
John Wick,9900000.0,9900000.0,8800000.0,66000000.0
Journey 2: The Mysterious Island,76890000.0,76890000.0,20504000.0,256300000.0
Joy,12330000.0,6165000.0,4110000.0,41100000.0
Keanu,1710000.0,1710000.0,456000.0,5700000.0
Kill the Messenger,-750000.0,-375000.0,-200000.0,-2500000.0
Killing Them Softly,6870000.0,3435000.0,1832000.0,22900000.0
Kingsman: The Secret Service,96120000.0,96120000.0,25632000.0,320400000.0
Krampus,13950000.0,13950000.0,6200000.0,46500000.0
Kubo and the Two Strings,-9720000.0,-9720000.0,-2592000.0,-32400000.0
Kung Fu Panda 3,56235000.0,56235000.0,29992000.0,374900000.0
Lazer Team,-240000.0,-120000.0,-64000.0,-800000.0
Left Behind,3480000.0,1740000.0,928000.0,11600000.0
Les Misérables,114240000.0,114240000.0,30464000.0,380800000.0
Let's Be Cops,36360000.0,18180000.0,16160000.0,121200000.0
Life of Pi,146700000.0,73350000.0,48900000.0,489000000.0
Lights Out,36300000.0,18150000.0,16133333.333333334,121000000.0
Lincoln,63090000.0,63090000.0,16824000.0,210300000.0
Little Boy,-750000.0,-750000.0,-200000.0,-2500000.0
Lockout,1830000.0000000005,1830000.0000000005,976000.0000000003,12200000.000000004
London Has Fallen,40710000.0,40710000.0,10856000.0,135700000.0
Looper,43950000.0,21975000.0,11720000.0,146500000.0
Love the Coopers,5130000.0,2565000.0,1368000.0,17100000.0
Lucy,127020000.0,127020000.0,56453333.333333336,423400000.0
Mad Max: Fury Road,68520000.0,68520000.0,18272000.0,228400000.0
Madagascar 3: Europe's Most Wanted,180570000.0,180570000.0,48152000.0,601900000.0
Magic in the Moonlight,10260000.0,10260000.0,2736000.0,34200000.0
Mama,39420000.0,19710000.0,13140000.0,131400000.0
Man of Steel,132900000.0,66450000.0,35440000.0,443000000.0
Man on a Ledge,1260000.0,630000.0,336000.0,4200000.0
Max,7200000.0,7200000.0,3200000.0,24000000.0
Maze Runner: The Scorch Trials,75390000.0,37695000.0,20104000.0,251300000.0
Me and Earl and the Dying Girl,330000.0,165000.0,88000.0,1100000.0
Me Before You,52860000.0,26430000.0,14096000.0,176200000.0
Mechanic: Resurrection,-9750000.0,-9750000.0,-3250000.0,-32500000.0
Men in Black 3,122700000.0,61350000.0,32720000.0,409000000.0
Midnight Special,-3540000.0,-3540000.0,-944000.0,-11800000.0
Miracles from Heaven,18180000.0,18180000.0,8080000.0,60600000.0
Mirror Mirror,29400000.0,14700000.0,7840000.0,98000000.0
Mission: Impossible – Rogue Nation,159690000.0,159690000.0,42584000.0,532300000.0
Moms' Night Out,1650000.0,825000.0,550000.0,5500000.0
Money Monster,19830000.0,19830000.0,5288000.0,66100000.0
Monster Hunt,98760000.0,49380000.0,32920000.0,329200000.0
Moonrise Kingdom ₪,15690000.0,7845000.0,4184000.0,52300000.0
Mortdecai,-3900000.0,-1950000.0,-1040000.0,-13000000.0
Mother's Day,5640000.0,2820000.0,1504000.0,18800000.0
Mr. Peabody & Sherman,39210000.0,39210000.0,10456000.0,130700000.0
Mud,6780000.0,6780000.0,1808000.0,22600000.0
Mustang,1080000.0,1080000.0,1440000.0,3600000.0
My All American,-5340000.0,-2670000.0,-1424000.0,-17800000.0
My Big Fat Greek Wedding 2,21270000.0,10635000.0,7090000.0,70900000.0
Need for Speed,41490000.0,41490000.0,11064000.0,138300000.0
Neighbors,75810000.0,75810000.0,20216000.0,252700000.0
Neighbors 2: Sorority Rising,21870000.0,21870000.0,5832000.0,72900000.0
Nerve,4140000.0,8280000.0,2208000.0,27600000.0
Night at the Museum: Secret of the Tomb,70860000.0,70860000.0,18896000.0,236200000.0
Nightcrawler,12540000.0,12540000.0,4180000.0,41800000.0
Nine Lives,-3270000.0,-3270000.0,-872000.0,-10900000.0
No Escape,14820000.0,7410000.0,6586666.666666667,49400000.0
No Good Deed,12330000.0,12330000.0,5480000.0,41100000.0
No One Lives,-570000.0,-570000.0,-152000.0,-1900000.0
Noah,71280000.0,35640000.0,19008000.0,237600000.0
Non-Stop,51840000.0,51840000.0,13824000.0,172800000.0
Now You See Me,83010000.0,83010000.0,22136000.0,276700000.0
Now You See Me 2,69270000.0,69270000.0,18472000.0,230900000.0
Oblivion,49860000.0,24930000.0,13296000.0,166200000.0
Olympus Has Fallen,27300000.0,27300000.0,7280000.0,91000000.0
One Direction: This Is Us,17550000.0,8775000.0,4680000.0,58500000.0
One for the Money,-930000.0,-465000.0,-248000.0,-3100000.0
Ouija,29580000.0,29580000.0,7888000.0,98600000.0
Our Brand Is Crisis,-5820000.0,-2910000.0,-1552000.0,-19400000.0
Pacific Rim,66300000.0,33150000.0,17680000.0,221000000.0
Pain & Gain,18060000.0,9030000.0,4816000.0,60200000.0
Pan,-6480000.0,-3240000.0,-1728000.0,-21600000.0
Paper Towns,22050000.0,11025000.0,14700000.0,73500000.0
Paranormal Activity 4,20670000.0,41340000.0,27560000.0,137800000.0
Paranormal Activity: The Ghost Dimension,20430000.0,20430000.0,13620000.0,68100000.0
ParaNorman,14130000.0,14130000.0,3768000.0,47100000.0
Parental Guidance,28440000.0,28440000.0,7584000.0,94800000.0
Parker,4050000.0,2025000.0,1080000.0,13500000.0
Paul Blart: Mall Cop 2,20280000.0,10140000.0,5408000.0,67600000.0
Pawn Sacrifice,-4080000.0,-2040000.0,-1088000.0,-13600000.0
Penguins of Madagascar,72300000.0,72300000.0,19280000.0,241000000.0
People Like Us,-1080000.0,-1080000.0,-288000.0,-3600000.0
Percy Jackson: Sea of Monsters,33660000.0,16830000.0,8976000.0,112200000.0
Pitch Perfect,29520000.0,14760000.0,7872000.0,98400000.0
Pitch Perfect 2,77430000.0,77430000.0,20648000.0,258100000.0
Pixels,34770000.0,17385000.0,9272000.0,115900000.0
Point Break,8609999.999999994,4304999.999999997,2869999.9999999986,28699999.999999985
Polis Evo,4470000.0,4470000.0,1192000.0,14900000.0
Poltergeist,18120000.0,18120000.0,4832000.0,60400000.0
Pompeii,11340000.0,5670000.0,3024000.0,37800000.0
Popstar: Never Stop Never Stopping,-1575000.0,-3150000.0,-1400000.0,-10500000.0
Premium Rush,-1170000.0,-1170000.0,-312000.0,-3900000.0
Pride and Prejudice and Zombies,-3480000.0000000005,-1740000.0000000002,-928000.0000000002,-11600000.000000002
Prisoners,22830000.0,22830000.0,6088000.0,76100000.0
Project Almanac,6360000.000000001,3180000.0000000005,4240000.000000001,21200000.000000004
Project X,27210000.0,27210000.0,7256000.0,90700000.0
Prometheus,82020000.0,41010000.0,21872000.0,273400000.0
Promised Land,-2070000.0,-2070000.0,-690000.0,-6900000.0
R.I.P.D.,-15510000.0,-7755000.0,-4136000.0,-51700000.0
Race,5550000.0,2775000.0,1480000.0,18500000.0
Raiders of the Lost Ark: The IMAX Experience,111570000.0,55785000.0,29752000.0,371900000.0
Rams,-3000.0,-3000.0,-4000.0,-10000.0
Ratchet & Clank,-1080000.0,-1080000.0,-576000.0,-7200000.0
RED 2,19230000.0,9615000.0,5128000.0,64100000.0
Red Dawn,-5070000.0,-5070000.0,-1352000.0,-16900000.0
Red Tails,-2280000.0,-2280000.0,-608000.0,-7600000.0
Resident Evil: Retribution,52560000.0,26280000.0,14016000.0,175200000.0
Ricki and the Flash,6990000.0,3495000.0,1864000.0,23300000.0
Riddick,18090000.0,9045000.0,4824000.0,60300000.0
Ride Along,38850000.0,19425000.0,10360000.0,129500000.0
Ride Along 2,25260000.0,12630000.0,6736000.0,84200000.0
Rio 2,119130000.0,119130000.0,31768000.0,397100000.0
Rise of the Guardians,48570000.0,48570000.0,12952000.0,161900000.0
Risen,7830000.0,7830000.0,3480000.0,26100000.0
RoboCop,42810000.0,21405000.0,11416000.0,142700000.0
Robot & Frank,720000.0,360000.0,192000.0,2400000.0
Rock of Ages,-4680000.0,-2340000.0,-1248000.0,-15600000.0
Rock the Kasbah,-3480000.0,-3480000.0,-928000.0,-11600000.0
Romeo and Juliet,-3600000.0,-3600000.0,-960000.0,-12000000.0
Room,6900000.0,3450000.0,1840000.0,23000000.0
Run All Night,3030000.0,3030000.0,1346666.6666666667,10100000.0
"Runner, Runner",0.0,0.0,0.0,0.0
Rush,15660000.0,15660000.0,5220000.0,52200000.0
Sabotage,-5250000.0,-5250000.0,-1400000.0,-17500000.0
Safe House,36930000.0,36930000.0,9848000.0,123100000.0
Salmon Fishing in the Yemen,6060000.0,3030000.0,2020000.0,20200000.0
Savages,11400000.0,5700000.0,3040000.0,38000000.0
Scary Movie 5,17520000.0,8760000.0,4672000.0,58400000.0
Secret in Their Eyes,3810000.000000001,1905000.0000000005,1270000.0000000005,12700000.000000004
Self/less,1350000.0,675000.0,360000.0,4500000.0
Selma,14040000.0,14040000.0,4680000.0,46800000.0
Seventh Son,5760000.0,5760000.0,1536000.0,19200000.0
Shaun the Sheep Movie,24300000.0,12150000.0,16200000.0,81000000.0
Sicario,16470000.0,8235000.0,5490000.0,54900000.0
Side Effects,11010000.0,11010000.0,2936000.0,36700000.0
Silent Hill: Revelation 3D,9690000.0,9690000.0,2584000.0,32300000.0
Silver Linings Playbook,64620000.0,64620000.0,17232000.0,215400000.0
Sin City: A Dame to Kill For,-3840000.0,-3840000.0,-2048000.0,-25600000.0
Sinister,22410000.0,11205000.0,7470000.0,74700000.0
Sinister 2,12870000.0,12870000.0,8580000.0,42900000.0
Sisters,22500000.0,22500000.0,7500000.0,75000000.0
Snitch,12840000.0,12840000.0,4280000.0,42800000.0
Snow White and the Huntsman,67980000.0,33990000.0,18128000.0,226600000.0
Son of God,13740000.0,13740000.0,6106666.666666667,45800000.0
Son of Saul,1410000.0,1410000.0,1880000.0,4700000.0
Southpaw,18600000.0,18600000.0,4960000.0,62000000.0
Spotlight,20490000.0,20490000.0,5464000.0,68300000.0
Spy,51210000.0,25605000.0,13656000.0,170700000.0
St. Vincent,12540000.0,12540000.0,3344000.0,41800000.0
Stand by Me Doraemon,24210000.0,48420000.0,12912000.0,161400000.0
Star Trek Beyond,17400000.0,8700000.0,4640000.0,58000000.0
Step Up: All In,12360000.0,12360000.0,3296000.0,41200000.0
Steve Jobs,1320000.0,1320000.0,352000.0,4400000.0
Straight Outta Compton,45480000.0,22740000.0,12128000.0,151600000.0
Suffragette,5400000.0,5400000.0,1440000.0,18000000.0
Suicide Squad,138510000.0,138510000.0,36936000.0,461700000.0
Taken 2,99930000.0,49965000.0,26648000.0,333100000.0
Tammy,24150000.0,24150000.0,6440000.0,80500000.0
Ted,149520000.0,149520000.0,39872000.0,498400000.0
Ted 2,44610000.0,44610000.0,11896000.0,148700000.0
Teenage Mutant Ninja Turtles,110490000.0,55245000.0,29464000.0,368300000.0
Teenage Mutant Ninja Turtles: Out of the Shadows,32250000.0,32250000.0,8600000.0,107500000.0
Terminator Genisys,85680000.0,42840000.0,22848000.0,285600000.0
Texas Chainsaw 3D,8160000.0,8160000.0,2176000.0,27200000.0
That Awkward Moment,9750000.0,4875000.0,2600000.0,32500000.0
The 33,-330000.0,-330000.0,-88000.0,-1100000.0
The 5th Wave,22710000.0,11355000.0,6056000.0,75700000.0
The Age of Adaline,12210000.0,12210000.0,3256000.0,40700000.0
The Amazing Spider-Man,158370000.0,79185000.0,42232000.0,527900000.0
The Angry Birds Movie,41085000.0,82170000.0,21912000.0,273900000.0
The Best Exotic Marigold Hotel ₪,38040000.0,19020000.0,10144000.0,126800000.0
The Big Short,31590000.000000004,15795000.000000002,8424000.000000002,105300000.00000001
The Bling Ring,3330000.0,1665000.0,888000.0,11100000.0
The Book of Life,14940000.0,14940000.0,4980000.0,49800000.0
The Boss,14880000.0,14880000.0,3968000.0,49600000.0
The Bourne Legacy,45330000.0,22665000.0,12088000.0,151100000.0
The Boxtrolls,7395000.0,14790000.0,3944000.0,49300000.0
The Boy,16260000.0,8130000.0,5420000.0,54200000.0
The Butler,43980000.0,21990000.0,11728000.0,146600000.0
The Cabin in the Woods,10950000.0,5475000.0,2920000.0,36500000.0
The Call,16680000.0,16680000.0,4448000.0,55600000.0
The Campaign,2970000.0,2970000.0,792000.0,9900000.0
The Cold Light of Day,-930000.0,-465000.0,-248000.0,-3100000.0
The Collection,-330000.0,-330000.0,-220000.0,-1100000.0
The Conjuring,89400000.0,44700000.0,23840000.0,298000000.0
The Conjuring 2,83850000.0,83850000.0,55900000.0,279500000.0
The Croods,67830000.0,67830000.0,36176000.0,452200000.0
The Danish Girl,14760000.0,14760000.0,4920000.0,49200000.0
The Darkness,2070000.0,2070000.0,552000.0,6900000.0
The Devil Inside,30240000.0,15120000.0,10080000.0,100800000.0
The Dictator,34320000.0,34320000.0,9152000.0,114400000.0
The Divergent Series: Allegiant,20760000.0,10380000.0,5536000.0,69200000.0
The Divergent Series: Insurgent,56190000.0,28095000.0,14984000.0,187300000.0
The Drop,1830000.0,1830000.0,488000.0,6100000.0
The Duff,10500000.0,10500000.0,2800000.0,35000000.0
The East,-1230000.0,-1230000.0,-328000.0,-4100000.0
The Equalizer,41190000.0,41190000.0,10984000.0,137300000.0
The Expendables 2,61620000.0,61620000.0,16432000.0,205400000.0
The Expendables 3,34860000.0,34860000.0,9296000.0,116200000.0
The Family,14520000.0,14520000.0,3872000.0,48400000.0
The Fault in Our Stars,88260000.0,88260000.0,58840000.0,294200000.0
The Five-Year Engagement,7170000.0,3585000.0,1912000.0,23900000.0
The Forest,8280000.0,8280000.0,5520000.0,27600000.0
The Gift,16200000.0,16200000.0,7200000.0,54000000.0
The Giver,12600000.0,12600000.0,3360000.0,42000000.0
The Grand Budapest Hotel,45540000.0,45540000.0,12144000.0,151800000.0
The Great Gatsby,73800000.0,36900000.0,19680000.0,246000000.0
The Grey,15690000.0,7845000.0,5230000.0,52300000.0
The Gunman,-4740000.0,-4740000.0,-1264000.0,-15800000.0
The Hangover Part III,77700000.0,77700000.0,20720000.0,259000000.0
The Hateful Eight,33540000.0,33540000.0,8944000.0,111800000.0
The Heat,56070000.0,28035000.0,14952000.0,186900000.0
The Hobbit: The Battle of the Five Armies,211800000.0,105900000.0,56480000.0,706000000.0
The Host,6990000.0,3495000.0,1864000.0,23300000.0
The Hundred-Foot Journey,20070000.0,20070000.0,13380000.0,66900000.0
The Hunger Games,184920000.0,92460000.0,49312000.0,616400000.0
The Hunger Games: Mockingjay – Part 1,189120000.0,94560000.0,50432000.0,630400000.0
The Hunger Games: Mockingjay – Part 2,148020000.0,148020000.0,39472000.0,493400000.0
The Huntsman: Winter's War,14880000.0,14880000.0,3968000.0,49600000.0
The Iceman,-1680000.0,-840000.0,-448000.0,-5600000.0
The Identical,-3960000.0,-1980000.0,-1056000.0,-13200000.0
The Imitation Game,65880000.0,65880000.0,17568000.0,219600000.0
The Impossible,40590000.0,40590000.0,27060000.0,135300000.0
The Incredible Burt Wonderstone,-1980000.0,-1980000.0,-528000.0,-6600000.0
The Infiltrator,-9690000.0,-4845000.0,-2584000.0,-32300000.0
The Intern,45180000.0,45180000.0,12048000.0,150600000.0
The Internship,10500000.0,10500000.0,2800000.0,35000000.0
The Interview,-4905000.0,-4905000.0,-4360000.0,-32700000.0
The Judge,10320000.0,5160000.0,2752000.0,34400000.0
The Lady in the Van,10620000.0,5310000.0,2832000.0,35400000.0
The Last Exorcism Part II,3030000.0,1515000.0,808000.0,10100000.0
The Last Stand,990000.0,990000.0,264000.0,3300000.0
The Last Witch Hunter,15120000.0,7560000.0,5040000.0,50400000.0
The Lazarus Effect,10530000.0,10530000.0,4680000.0,35100000.0
The Legend of Hercules,-2610000.0,-1305000.0,-696000.0,-8700000.0
The Legend of Tarzan,51810000.0,25905000.0,13816000.0,172700000.0
The Lego Movie,61380000.0,122760000.0,32736000.0,409200000.0
The Letters,180000.0,180000.0,60000.0,600000.0
The Lucky One,22320000.0,11160000.0,5952000.0,74400000.0
The Man from U.N.C.L.E.,10440000.0,5220000.0,2784000.0,34800000.0
The Man with the Iron Fists,90000.0,45000.0,24000.0,300000.0
The Martian,156660000.0,156660000.0,41776000.0,522200000.0
The Master,-1110000.0,-1110000.0,-296000.0,-3700000.0
The Maze Runner,94290000.0,47145000.0,25144000.0,314300000.0
The Mermaid,147924000.0,73962000.0,39446400.0,493080000.0
The Monuments Men,25500000.0,25500000.0,6800000.0,85000000.0
The Mortal Instruments: City of Bones,9180000.0,4590000.0,2448000.0,30600000.0
The Night Before,8220000.0,8220000.0,3653333.3333333335,27400000.0
The November Man,5940000.0,5940000.0,1584000.0,19800000.0
The Nut Job,23430000.0,23430000.0,6248000.0,78100000.0
The Oogieloves in the Big Balloon Adventure,-5670000.0,-5670000.0,-1512000.0,-18900000.0
The Other Woman,47010000.0,47010000.0,12536000.0,156700000.0
