"Figure 4. Marine Heat Wave Intensity and Duration at Five Marine Protected Areas, 1982-2023",,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,
"Data source: NOAA, 2024",,,,,,
Web update: June 2024,,,,,,
"Units: duration (days), intensity (degrees F), severity",,,,,,
,,,,,,
event_no,duration,date_start,date_end,intensity_mean,severity,marine_protected_area
49,6,5/27/2011,6/1/2011,3.9661,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
50,5,6/7/2011,6/11/2011,4.5211,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
51,16,6/28/2011,7/13/2011,4.7509,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
52,6,7/20/2011,7/25/2011,3.74,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
53,6,7/31/2011,8/5/2011,3.3655,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
54,37,9/23/2011,10/29/2011,3.9757,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
55,181,11/2/2011,4/30/2012,3.2196,IV Extreme,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
56,24,5/11/2012,6/3/2012,5.6044,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
57,35,6/20/2012,7/24/2012,5.9637,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
58,49,8/1/2012,9/18/2012,4.1943,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
59,6,10/25/2012,10/30/2012,2.6694,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
60,92,11/21/2012,2/20/2013,2.9418,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
61,23,2/24/2013,3/18/2013,2.4721,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
62,10,3/23/2013,4/1/2013,2.1565,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
63,27,4/28/2013,5/24/2013,4.1814,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
64,24,7/2/2013,7/25/2013,5.405,III Severe,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
65,7,7/29/2013,8/4/2013,3.7557,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
66,28,10/2/2013,10/29/2013,3.4874,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
67,5,11/5/2013,11/9/2013,2.0988,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
68,5,5/10/2014,5/14/2014,3.6337,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
69,13,8/31/2014,9/12/2014,4.3811,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
70,13,10/13/2014,10/25/2014,3.1664,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
71,5,11/10/2014,11/14/2014,2.0672,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
72,5,1/2/2015,1/6/2015,2.1978,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
73,6,7/10/2015,7/15/2015,3.169,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
74,15,7/19/2015,8/2/2015,3.6683,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
75,46,8/16/2015,9/30/2015,4.355,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
76,153,11/2/2015,4/2/2016,2.7507,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
77,16,5/23/2016,6/7/2016,4.3972,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
78,37,7/16/2016,8/21/2016,4.6437,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
79,71,8/26/2016,11/4/2016,4.0043,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
80,41,11/9/2016,12/19/2016,2.6995,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
81,53,12/23/2016,2/13/2017,3.0482,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
82,23,2/17/2017,3/11/2017,2.7379,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
83,5,4/14/2017,4/18/2017,2.8042,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
84,9,8/14/2017,8/22/2017,2.908,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
