"Figure 4. Marine Heat Wave Intensity and Duration at Five Marine Protected Areas, 1982-2023",,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,
"Data source: NOAA, 2024",,,,,,
Web update: June 2024,,,,,,
"Units: duration (days), intensity (degrees F), severity",,,,,,
,,,,,,
event_no,duration,date_start,date_end,intensity_mean,severity,marine_protected_area
45,9,5/30/2005,6/7/2005,2.6265,I Moderate,Kachemak Bay National Estuarine Research Reserve
46,41,6/14/2005,7/24/2005,3.7611,II Strong,Kachemak Bay National Estuarine Research Reserve
47,61,8/4/2005,10/3/2005,2.8964,II Strong,Kachemak Bay National Estuarine Research Reserve
48,16,10/17/2005,11/1/2005,1.7755,I Moderate,Kachemak Bay National Estuarine Research Reserve
49,8,12/18/2005,12/25/2005,2.5895,I Moderate,Kachemak Bay National Estuarine Research Reserve
50,5,1/9/2006,1/13/2006,2.512,I Moderate,Kachemak Bay National Estuarine Research Reserve
51,5,9/20/2006,9/24/2006,2.2262,I Moderate,Kachemak Bay National Estuarine Research Reserve
52,7,7/16/2009,7/22/2009,2.7961,I Moderate,Kachemak Bay National Estuarine Research Reserve
53,5,12/7/2009,12/11/2009,2.3869,I Moderate,Kachemak Bay National Estuarine Research Reserve
54,8,1/9/2010,1/16/2010,2.5333,I Moderate,Kachemak Bay National Estuarine Research Reserve
55,7,1/29/2010,2/4/2010,2.3522,I Moderate,Kachemak Bay National Estuarine Research Reserve
56,10,10/31/2013,11/9/2013,1.7287,I Moderate,Kachemak Bay National Estuarine Research Reserve
57,16,1/24/2014,2/8/2014,2.7952,I Moderate,Kachemak Bay National Estuarine Research Reserve
58,7,3/25/2014,3/31/2014,2.0911,I Moderate,Kachemak Bay National Estuarine Research Reserve
59,5,5/8/2014,5/12/2014,2.962,I Moderate,Kachemak Bay National Estuarine Research Reserve
60,10,8/2/2014,8/11/2014,3.6206,I Moderate,Kachemak Bay National Estuarine Research Reserve
61,72,8/17/2014,10/27/2014,2.5352,II Strong,Kachemak Bay National Estuarine Research Reserve
62,218,11/2/2014,6/7/2015,3.5486,III Severe,Kachemak Bay National Estuarine Research Reserve
63,13,6/23/2015,7/5/2015,4.4771,III Severe,Kachemak Bay National Estuarine Research Reserve
64,6,7/10/2015,7/15/2015,2.616,I Moderate,Kachemak Bay National Estuarine Research Reserve
65,5,7/31/2015,8/4/2015,2.8103,I Moderate,Kachemak Bay National Estuarine Research Reserve
66,18,10/26/2015,11/12/2015,2.0734,I Moderate,Kachemak Bay National Estuarine Research Reserve
67,217,12/3/2015,7/6/2016,4.0279,III Severe,Kachemak Bay National Estuarine Research Reserve
68,8,7/11/2016,7/18/2016,4.9425,II Strong,Kachemak Bay National Estuarine Research Reserve
69,172,7/27/2016,1/14/2017,2.8979,II Strong,Kachemak Bay National Estuarine Research Reserve
70,5,2/2/2017,2/6/2017,2.7075,I Moderate,Kachemak Bay National Estuarine Research Reserve
71,13,4/13/2017,4/25/2017,2.249,I Moderate,Kachemak Bay National Estuarine Research Reserve
72,7,5/15/2017,5/21/2017,3.0744,I Moderate,Kachemak Bay National Estuarine Research Reserve
73,35,9/12/2017,10/16/2017,1.7965,I Moderate,Kachemak Bay National Estuarine Research Reserve
74,15,10/26/2017,11/9/2017,2.011,I Moderate,Kachemak Bay National Estuarine Research Reserve
75,49,12/6/2017,1/23/2018,2.5157,I Moderate,Kachemak Bay National Estuarine Research Reserve
76,5,2/21/2018,2/25/2018,2.9962,I Moderate,Kachemak Bay National Estuarine Research Reserve
77,16,10/17/2018,11/1/2018,1.9244,I Moderate,Kachemak Bay National Estuarine Research Reserve
78,216,11/15/2018,6/18/2019,3.372,II Strong,Kachemak Bay National Estuarine Research Reserve
79,28,7/5/2019,8/1/2019,3.6161,II Strong,Kachemak Bay National Estuarine Research Reserve
80,12,8/18/2019,8/29/2019,2.8606,I Moderate,Kachemak Bay National Estuarine Research Reserve
81,13,9/8/2019,9/20/2019,2.0262,I Moderate,Kachemak Bay National Estuarine Research Reserve
82,51,11/10/2019,12/30/2019,2.8997,II Strong,Kachemak Bay National Estuarine Research Reserve
83,8,6/13/2020,6/20/2020,2.4439,I Moderate,Kachemak Bay National Estuarine Research Reserve
84,9,7/13/2020,7/21/2020,3.4056,I Moderate,Kachemak Bay National Estuarine Research Reserve
85,24,8/12/2020,9/4/2020,3.1388,II Strong,Kachemak Bay National Estuarine Research Reserve
86,52,9/8/2020,10/29/2020,2.2235,II Strong,Kachemak Bay National Estuarine Research Reserve
87,6,11/24/2020,11/29/2020,2.0641,I Moderate,Kachemak Bay National Estuarine Research Reserve
88,12,12/7/2020,12/18/2020,2.1664,I Moderate,Kachemak Bay National Estuarine Research Reserve
89,35,12/31/2020,2/3/2021,2.5485,I Moderate,Kachemak Bay National Estuarine Research Reserve
90,27,5/22/2022,6/17/2022,3.117,II Strong,Kachemak Bay National Estuarine Research Reserve
91,20,8/28/2022,9/16/2022,1.9351,I Moderate,Kachemak Bay National Estuarine Research Reserve
92,5,11/23/2022,11/27/2022,1.9134,I Moderate,Kachemak Bay National Estuarine Research Reserve
93,5,1/6/2023,1/10/2023,2.2275,I Moderate,Kachemak Bay National Estuarine Research Reserve
94,7,1/21/2023,1/27/2023,2.248,I Moderate,Kachemak Bay National Estuarine Research Reserve
95,9,2/2/2023,2/10/2023,2.3696,I Moderate,Kachemak Bay National Estuarine Research Reserve
96,5,9/24/2023,9/28/2023,1.5735,I Moderate,Kachemak Bay National Estuarine Research Reserve
97,25,11/24/2023,12/18/2023,2.5339,I Moderate,Kachemak Bay National Estuarine Research Reserve
